delays_time,delays
2021-09-04 10:59:59.737217,8.918417
2021-09-04 10:59:59.745727,11.014927
2021-09-04 10:59:59.762382,7.203582
2021-09-04 10:59:59.778701,8.785901
2021-09-04 10:59:59.787396,11.230596
2021-09-04 10:59:59.795840,5.32304
2021-09-04 10:59:59.803991,5.679191
2021-09-04 10:59:59.812554,10.385754
2021-09-04 10:59:59.820668,10.393868
2021-09-04 10:59:59.828979,1.354179
2021-09-04 10:59:59.837342,8.844542
2021-09-04 10:59:59.845896,1.371096
2021-09-04 10:59:59.855331,8.862531
2021-09-04 10:59:59.867079,1.392279
2021-09-04 10:59:59.872630,10.44583
2021-09-04 10:59:59.880076,10.627276
2021-09-04 10:59:59.887841,2.588959
2021-09-04 10:59:59.895844,9.077044
2021-09-04 10:59:59.904024,10.477224
2021-09-04 10:59:59.911970,10.48517
2021-09-04 10:59:59.920694,1.445894
2021-09-04 10:59:59.928615,5.803815
2021-09-04 10:59:59.938247,1.463447
2021-09-04 10:59:59.945671,11.214871
2021-09-04 10:59:59.954828,7.396028
2021-09-04 10:59:59.962722,8.795922
2021-09-04 10:59:59.970615,9.325815
2021-09-04 10:59:59.978518,5.853718
2021-09-04 10:59:59.988237,11.257437
2021-09-04 10:59:59.995874,11.265074
2021-09-04 11:00:00.004860,10.92606
2021-09-04 11:00:00.012259,10.933459
2021-09-04 11:00:00.020492,5.895692
2021-09-04 11:00:00.029174,10.602374
2021-09-04 11:00:00.038267,10.959467
2021-09-04 11:00:00.045790,11.31499
2021-09-04 11:00:00.054799,10.627999
2021-09-04 11:00:00.062361,7.503561
2021-09-04 11:00:00.079400,8.9126
2021-09-04 11:00:00.096142,9.103342
2021-09-04 11:00:00.112222,11.381422
2021-09-04 11:00:00.120546,10.693746
2021-09-04 11:00:00.129750,10.87695
2021-09-04 11:00:00.138588,9.319788
2021-09-04 11:00:00.145560,11.41476
2021-09-04 11:00:00.161807,8.995007
2021-09-04 11:00:00.171438,11.440638
2021-09-04 11:00:00.178873,6.054073
2021-09-04 11:00:00.187000,1.7122
2021-09-04 11:00:00.195940,10.94314
2021-09-04 11:00:00.205070,11.47427
2021-09-04 11:00:00.212121,10.959321
2021-09-04 11:00:00.226175,10.799375
2021-09-04 11:00:00.230772,10.803972
2021-09-04 11:00:00.237565,11.506765
2021-09-04 11:00:00.245342,0.204542
2021-09-04 11:00:00.253794,9.260994
2021-09-04 11:00:00.262843,1.788043
2021-09-04 11:00:00.270274,7.711474
2021-09-04 11:00:00.278829,1.804029
2021-09-04 11:00:00.287980,10.86118
2021-09-04 11:00:00.297683,11.044883
2021-09-04 11:00:00.304219,2.172581
2021-09-04 11:00:00.312331,11.755531
2021-09-04 11:00:00.320725,5.847925
2021-09-04 11:00:00.329190,11.59839
2021-09-04 11:00:00.337441,11.606641
2021-09-04 11:00:00.345288,9.700488
2021-09-04 11:00:00.354548,0.313748
2021-09-04 11:00:00.362190,9.71739
2021-09-04 11:00:00.371190,9.37839
2021-09-04 11:00:00.378510,6.25371
2021-09-04 11:00:00.396441,6.271641
2021-09-04 11:00:00.404422,11.325622
2021-09-04 11:00:00.411932,1.937132
2021-09-04 11:00:00.420763,1.945963
2021-09-04 11:00:00.428732,0.387932
2021-09-04 11:00:00.437016,11.706216
2021-09-04 11:00:00.453791,9.808991
2021-09-04 11:00:00.462919,6.338119
2021-09-04 11:00:00.471063,11.392263
2021-09-04 11:00:00.479709,9.834909
2021-09-04 11:00:00.487354,11.234554
2021-09-04 11:00:00.495887,11.069087
2021-09-04 11:00:00.512319,2.037519
2021-09-04 11:00:00.521283,7.962483
2021-09-04 11:00:00.529965,9.537165
2021-09-04 11:00:00.545818,9.901018
2021-09-04 11:00:00.554931,11.824131
2021-09-04 11:00:00.570177,10.099377
2021-09-04 11:00:00.578326,9.585526
2021-09-04 11:00:00.586979,6.462179
2021-09-04 11:00:00.595649,11.864849
2021-09-04 11:00:00.606532,6.481732
2021-09-04 11:00:00.613396,11.360596
2021-09-04 11:00:00.622037,6.497237
2021-09-04 11:00:00.631346,11.900546
2021-09-04 11:00:00.640605,8.081805
2021-09-04 11:00:00.645547,10.000747
2021-09-04 11:00:00.654877,9.662077
2021-09-04 11:00:00.663477,9.670677
2021-09-04 11:00:00.672639,9.679839
2021-09-04 11:00:00.679099,9.686299
2021-09-04 11:00:00.691933,11.961133
2021-09-04 11:00:00.698391,6.573591
2021-09-04 11:00:00.712441,11.633641
2021-09-04 11:00:00.720470,2.24567
2021-09-04 11:00:00.729288,6.604488
2021-09-04 11:00:00.738160,11.48536
2021-09-04 11:00:00.746050,12.01525
2021-09-04 11:00:00.756586,6.631786
2021-09-04 11:00:00.764097,11.685297
2021-09-04 11:00:00.771645,6.646845
2021-09-04 11:00:00.779435,11.700635
2021-09-04 11:00:00.787997,12.057197
2021-09-04 11:00:00.804894,6.680094
2021-09-04 11:00:00.812099,9.819299
2021-09-04 11:00:00.821489,2.346689
2021-09-04 11:00:00.829403,12.098603
2021-09-04 11:00:00.839297,2.364497
2021-09-04 11:00:00.854639,11.427839
2021-09-04 11:00:00.862048,12.131248
2021-09-04 11:00:00.870971,10.400171
2021-09-04 11:00:00.878817,11.800017
2021-09-04 11:00:00.887317,12.156517
2021-09-04 11:00:00.896016,6.771216
2021-09-04 11:00:00.906927,9.914127
2021-09-04 11:00:00.912619,10.267819
2021-09-04 11:00:00.923364,9.756564
2021-09-04 11:00:00.930559,9.763759
2021-09-04 11:00:00.939911,2.465111
2021-09-04 11:00:00.945926,2.471126
2021-09-04 11:00:00.953939,6.829139
2021-09-04 11:00:00.963765,12.232965
2021-09-04 11:00:00.970886,6.846086
2021-09-04 11:00:00.978790,11.72599
2021-09-04 11:00:01.004456,12.273656
2021-09-04 11:00:01.011913,12.281113
2021-09-04 11:00:01.020881,10.376081
2021-09-04 11:00:01.029203,12.298403
2021-09-04 11:00:01.045855,8.487055
2021-09-04 11:00:01.056243,6.931443
2021-09-04 11:00:01.063156,10.418356
2021-09-04 11:00:01.071725,11.992925
2021-09-04 11:00:01.078872,12.000072
2021-09-04 11:00:01.095574,11.668774
2021-09-04 11:00:01.104676,9.937876
2021-09-04 11:00:01.112243,6.987443
2021-09-04 11:00:01.130032,7.005232
2021-09-04 11:00:01.137961,12.059161
2021-09-04 11:00:01.145177,12.414377
2021-09-04 11:00:01.155389,2.680589
2021-09-04 11:00:01.162919,7.038119
2021-09-04 11:00:01.171214,10.352414
2021-09-04 11:00:01.178977,12.100177
2021-09-04 11:00:01.196082,12.117282
2021-09-04 11:00:01.212349,2.737549
2021-09-04 11:00:01.220513,7.095713
2021-09-04 11:00:01.230384,8.671584
2021-09-04 11:00:01.239432,1.198632
2021-09-04 11:00:01.246130,2.77133
2021-09-04 11:00:01.254646,12.175846
2021-09-04 11:00:01.263355,12.532555
2021-09-04 11:00:01.271461,10.800661
2021-09-04 11:00:01.278850,11.50405
2021-09-04 11:00:01.292300,10.8215
2021-09-04 11:00:01.305470,7.18067
2021-09-04 11:00:01.311786,10.318986
2021-09-04 11:00:01.329093,1.288293
2021-09-04 11:00:01.345478,2.870678
2021-09-04 11:00:01.358009,10.365209
2021-09-04 11:00:01.362553,1.321753
2021-09-04 11:00:01.371958,11.945158
2021-09-04 11:00:01.378978,10.908178
2021-09-04 11:00:01.387395,11.960595
2021-09-04 11:00:01.395717,7.270917
2021-09-04 11:00:01.404101,12.673301
2021-09-04 11:00:01.412794,12.681994
